Query,Base_dir,Frames
One team is in all white and the other is in all blue. This is when the white team is awarded a penalty kick.,L01/V028,25293 25353 25383
"The scene is a stage with opera actors. Below the stage there are many spectators, mostly students wearing red scarves.",L04/V019,8467 8486 8548 8596 8638 8770 9625 9767 9971
A wall with a painting of environmental protection. On the wall is a painting of a dolphin and a sea turtle.,L12/V003,8933 9000 9046
A simulation of a globe. Throughout this video we focus on showing the Antarctic region on this globe.,L03/V006,21663 21976 22043 22244 22245
"The red and white cart was cutting rice in the rice field. There were two people sitting on the cart, the taller one was wearing a red hat.",L06/V028,4384 4681
"Red, yellow, and blue food boxes arranged in the shape of a bear.",L04/V008,16866 16903 16977
"The airport's name tag starts with ""NANTES"".",L01/V013,17598 17633 17670 17738
Several trucks with white boxes and a group of men standing on the trucks waving flags,L02/V011,27777 27848
The exhibition features a painting of a woman applying eye makeup in front of a mirror.,L11/V009,26403 26431
The exhibition features a painting of a woman applying eye makeup in front of a mirror.,L07/V002,10433
Many plants are grown in tires. These plants are planted next to a shop with a Chinese sign.,L02/V027,12494 12556 12557 12586
A horseman rode alongside two people on a motorbike across an open field.,L20/V017,31862 31898
Two children in yellow shirts are sitting on a cyclo. One is at the pedal position and the other is sitting in front.,L07/V004,11321 11350 11380
"During a chess tournament in Ho Chi Minh City, a close-up of ""Table 2"". The scene shows the empty area for the stopwatch between the two chess boards.",L01/V010,4434
A man catches a yellow jellyfish in the sea.,L13/V009 ,21475 21567 22011 22294 22295 22356 22417
A traffic policeman is removing a taxi sign from the roof of an illegally operating taxi.,L01/V021 ,14951
An area decorated with lots of LED lights. There is a person wearing a long coat and glasses taking pictures in the butterfly shaped area.,L06/V024 ,17830
"During the cycling race, the racing team was going through a corner with a sign that read ""70th Anniversary of DIEN BIEN PHU VICTORY"". The word Dien Bien Phu has a rainbow gradient color from right to left.",L23/V001,2355
"A scene of a painting with a green background. On the painting is the word ""BACK VIEW"" written in hand.",L04/V002,17721 17839 18225 18434
"A dress made by piecing together small pieces of fabric, each small piece of fabric shaped like a pair of butterfly wings.",L15/V024,27847 27884 27997 27315 27355
